GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2017100110,2017-10-01,2,0,27,LAC,PHI,1,10,68,,0,,0,"(:27) (SHOTGUN) PENALTY ON PHI-55-B.GRAHAM, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT PHI 32 - NO PLAY.",0,,,2017,0,SHOTGUN,"NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,32,OPP,1,PHI,1,"NEUTRAL ZONE INFRACTION",5
2017100110,2017-10-01,2,4,13,PHI,LAC,4,8,65,,0,,0,"(4:13) 4-J.ELLIOTT 53 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-8-D.JONES.",0,,,2017,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
2017100110,2017-10-01,2,4,20,PHI,LAC,3,8,65,,0,,0,"(4:20) (SHOTGUN) 11-C.WENTZ PASS INCOMPLETE SHORT RIGHT TO 86-Z.ERTZ [57-J.BROWN].",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
2017100110,2017-10-01,2,4,26,PHI,LAC,2,8,65,,0,,0,"(4:26) (SHOTGUN) 11-C.WENTZ PASS INCOMPLETE SHORT MIDDLE TO 86-Z.ERTZ (26-C.HAYWARD).",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
2017100110,2017-10-01,2,4,55,PHI,LAC,1,10,63,,0,,0,"(4:55) (SHOTGUN) 28-W.SMALLWOOD UP THE MIDDLE TO LAC 35 FOR 2 YARDS (40-C.MCCAIN).",0,,,2017,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,37,OPP,0,,0,,0
2017100110,2017-10-01,2,6,32,LAC,PHI,0,0,80,,1,,0,"9-Y.KOO EXTRA POINT IS GOOD, CENTER-47-M.WINDT, HOLDER-8-D.KASER.",0,,,2017,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,20,OPP,0,,0,,0
2017100110,2017-10-01,2,6,32,LAC,PHI,0,0,85,,0,,0,"(KICK FORMATION) PENALTY ON LAC-8-D.KASER, DELAY OF GAME, 5 YARDS, ENFORCED AT PHI 15 - NO PLAY.",0,,,2017,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,15,OPP,1,LAC,1,"DELAY OF GAME",5
2017100110,2017-10-01,2,6,47,PHI,LAC,4,13,78,,0,,0,"(6:47) 4-J.ELLIOTT 40 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-8-D.JONES.",0,,,2017,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
2017100110,2017-10-01,2,6,53,PHI,LAC,3,13,78,,0,,0,"(6:53) (SHOTGUN) 11-C.WENTZ PASS INCOMPLETE DEEP MIDDLE TO 82-T.SMITH (24-TR.WILLIAMS).",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"DEEP MIDDLE",0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
2017100110,2017-10-01,2,6,57,PHI,LAC,2,13,78,,0,,0,"(6:57) (SHOTGUN) 11-C.WENTZ PASS INCOMPLETE SHORT RIGHT TO 87-B.CELEK.",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
